Name,Date,Open,High,Low,Close,Volume
ALL032,20140110,100.01,100.01,100.01,100.01,0
ALL032,20140113,100.03,100.03,100.03,100.03,0
ALL032,20140114,100.03,100.03,100.03,100.03,0
ALL032,20140115,100.04,100.04,100.04,100.04,0
ALL032,20140116,100.04,100.04,100.04,100.04,0
ALL032,20140117,100.05,100.05,100.05,100.05,0
ALL032,20140120,100.06,100.06,100.06,100.06,0
ALL032,20140121,100.07,100.07,100.07,100.07,0
ALL032,20140122,100.07,100.07,100.07,100.07,0
ALL032,20140123,100.13,100.13,100.13,100.13,0
ALL032,20140124,100.16,100.16,100.16,100.16,0
ALL032,20140127,100.18,100.18,100.18,100.18,0
ALL032,20140128,100.16,100.16,100.16,100.16,0
ALL032,20140129,96.94,96.94,96.94,96.94,0
ALL032,20140130,93.32,93.32,93.32,93.32,0
ALL032,20140131,98.33,98.33,98.33,98.33,0
ALL032,20140203,97.37,97.37,97.37,97.37,0
ALL032,20140204,97.45,97.45,97.45,97.45,0
ALL032,20140205,97.52,97.52,97.52,97.52,0
ALL032,20140206,97.70,97.70,97.70,97.70,0
ALL032,20140207,97.90,97.90,97.90,97.90,0
ALL032,20140210,98.13,98.13,98.13,98.13,0
ALL032,20140211,98.41,98.41,98.41,98.41,0
ALL032,20140212,98.68,98.68,98.68,98.68,0
ALL032,20140213,98.56,98.56,98.56,98.56,0
ALL032,20140214,98.92,98.92,98.92,98.92,0
ALL032,20140217,99.20,99.20,99.20,99.20,0
ALL032,20140218,99.15,99.15,99.15,99.15,0
ALL032,20140219,99.45,99.45,99.45,99.45,0
ALL032,20140220,98.74,98.74,98.74,98.74,0
ALL032,20140221,99.54,99.54,99.54,99.54,0
ALL032,20140224,99.35,99.35,99.35,99.35,0
ALL032,20140225,99.76,99.76,99.76,99.76,0
ALL032,20140226,99.88,99.88,99.88,99.88,0
ALL032,20140227,99.90,99.90,99.90,99.90,0
ALL032,20140228,100.49,100.49,100.49,100.49,0
ALL032,20140303,99.61,99.61,99.61,99.61,0
ALL032,20140304,100.20,100.20,100.20,100.20,0
ALL032,20140305,100.76,100.76,100.76,100.76,0
ALL032,20140306,101.14,101.14,101.14,101.14,0
ALL032,20140307,101.03,101.03,101.03,101.03,0
ALL032,20140310,100.69,100.69,100.69,100.69,0
ALL032,20140311,100.46,100.46,100.46,100.46,0
ALL032,20140312,99.59,99.59,99.59,99.59,0
ALL032,20140313,99.54,99.54,99.54,99.54,0
ALL032,20140314,98.54,98.54,98.54,98.54,0
ALL032,20140317,98.54,98.54,98.54,98.54,0
ALL032,20140318,98.78,98.78,98.78,98.78,0
ALL032,20140319,99.38,99.38,99.38,99.38,0
ALL032,20140320,98.72,98.72,98.72,98.72,0
ALL032,20140321,99.25,99.25,99.25,99.25,0
ALL032,20140324,99.22,99.22,99.22,99.22,0
ALL032,20140325,98.95,98.95,98.95,98.95,0
ALL032,20140326,99.54,99.54,99.54,99.54,0
ALL032,20140327,99.28,99.28,99.28,99.28,0
ALL032,20140328,99.32,99.32,99.32,99.32,0
ALL032,20140331,100.06,100.06,100.06,100.06,0
ALL032,20140401,100.72,100.72,100.72,100.72,0
ALL032,20140402,100.73,100.73,100.73,100.73,0
ALL032,20140403,101.16,101.16,101.16,101.16,0
ALL032,20140404,101.07,101.07,101.07,101.07,0
ALL032,20140407,100.46,100.46,100.46,100.46,0
ALL032,20140408,100.18,100.18,100.18,100.18,0
ALL032,20140409,100.56,100.56,100.56,100.56,0
ALL032,20140410,101.37,101.37,101.37,101.37,0
ALL032,20140411,99.89,99.89,99.89,99.89,0
ALL032,20140414,99.26,99.26,99.26,99.26,0
ALL032,20140415,99.34,99.34,99.34,99.34,0
ALL032,20140416,99.73,99.73,99.73,99.73,0
ALL032,20140417,100.25,100.25,100.25,100.25,0
