Name,Date,Open,High,Low,Close,Volume
ALT921,20140402,100.00,100.00,100.00,100.00,0
ALT921,20140403,100.00,100.00,100.00,100.00,0
ALT921,20140404,100.00,100.00,100.00,100.00,0
ALT921,20140407,100.00,100.00,100.00,100.00,0
ALT921,20140408,100.00,100.00,100.00,100.00,0
ALT921,20140409,100.00,100.00,100.00,100.00,0
ALT921,20140410,100.00,100.00,100.00,100.00,0
ALT921,20140411,100.00,100.00,100.00,100.00,0
ALT921,20140414,100.02,100.02,100.02,100.02,0
ALT921,20140415,100.02,100.02,100.02,100.02,0
ALT921,20140416,100.01,100.01,100.01,100.01,0
ALT921,20140417,100.54,100.54,100.54,100.54,0
ALT921,20140422,100.55,100.55,100.55,100.55,0
ALT921,20140423,100.46,100.46,100.46,100.46,0
ALT921,20140424,100.46,100.46,100.46,100.46,0
ALT921,20140425,100.70,100.70,100.70,100.70,0
ALT921,20140428,100.80,100.80,100.80,100.80,0
ALT921,20140429,100.77,100.77,100.77,100.77,0
ALT921,20140430,100.85,100.85,100.85,100.85,0
ALT921,20140502,100.82,100.82,100.82,100.82,0
ALT921,20140505,100.76,100.76,100.76,100.76,0
ALT921,20140506,100.75,100.75,100.75,100.75,0
ALT921,20140507,100.86,100.86,100.86,100.86,0
ALT921,20140508,100.87,100.87,100.87,100.87,0
ALT921,20140509,100.88,100.88,100.88,100.88,0
ALT921,20140512,101.19,101.19,101.19,101.19,0
ALT921,20140513,101.26,101.26,101.26,101.26,0
ALT921,20140514,101.19,101.19,101.19,101.19,0
ALT921,20140515,101.12,101.12,101.12,101.12,0
ALT921,20140516,101.70,101.70,101.70,101.70,0
ALT921,20140519,102.14,102.14,102.14,102.14,0
ALT921,20140520,102.15,102.15,102.15,102.15,0
ALT921,20140521,102.24,102.24,102.24,102.24,0
ALT921,20140522,102.44,102.44,102.44,102.44,0
ALT921,20140523,102.44,102.44,102.44,102.44,0
ALT921,20140526,102.52,102.52,102.52,102.52,0
ALT921,20140527,102.67,102.67,102.67,102.67,0
ALT921,20140528,102.72,102.72,102.72,102.72,0
ALT921,20140529,102.95,102.95,102.95,102.95,0
ALT921,20140530,103.08,103.08,103.08,103.08,0
ALT921,20140602,103.04,103.04,103.04,103.04,0
ALT921,20140603,102.87,102.87,102.87,102.87,0
ALT921,20140604,102.60,102.60,102.60,102.60,0
ALT921,20140605,102.71,102.71,102.71,102.71,0
ALT921,20140606,102.81,102.81,102.81,102.81,0
ALT921,20140609,102.74,102.74,102.74,102.74,0
ALT921,20140610,102.87,102.87,102.87,102.87,0
