Name,Date,Open,High,Low,Close,Volume
PKO909,20150519,100.00,100.00,100.00,100.00,0
PKO909,20150520,99.63,99.63,99.63,99.63,0
PKO909,20150521,99.23,99.23,99.23,99.23,0
PKO909,20150522,99.10,99.10,99.10,99.10,0
PKO909,20150525,98.51,98.51,98.51,98.51,0
PKO909,20150526,96.54,96.54,96.54,96.54,0
PKO909,20150527,96.78,96.78,96.78,96.78,0
PKO909,20150528,97.36,97.36,97.36,97.36,0
PKO909,20150529,97.25,97.25,97.25,97.25,0
PKO909,20150601,97.39,97.39,97.39,97.39,0
PKO909,20150602,98.41,98.41,98.41,98.41,0
PKO909,20150603,96.68,96.68,96.68,96.68,0
PKO909,20150605,94.72,94.72,94.72,94.72,0
PKO909,20150608,96.80,96.80,96.80,96.80,0
PKO909,20150609,95.39,95.39,95.39,95.39,0
PKO909,20150610,96.20,96.20,96.20,96.20,0
PKO909,20150611,95.29,95.29,95.29,95.29,0
PKO909,20150612,95.29,95.29,95.29,95.29,0
PKO909,20150615,94.94,94.94,94.94,94.94,0
PKO909,20150616,94.48,94.48,94.48,94.48,0
PKO909,20150617,96.41,96.41,96.41,96.41,0
PKO909,20150618,98.24,98.24,98.24,98.24,0
PKO909,20150619,96.43,96.43,96.43,96.43,0
PKO909,20150622,94.62,94.62,94.62,94.62,0
PKO909,20150623,94.85,94.85,94.85,94.85,0
PKO909,20150624,94.91,94.91,94.91,94.91,0
PKO909,20150625,93.98,93.98,93.98,93.98,0
PKO909,20150626,93.27,93.27,93.27,93.27,0
PKO909,20150629,93.79,93.79,93.79,93.79,0
PKO909,20150630,91.95,91.95,91.95,91.95,0
PKO909,20150701,90.62,90.62,90.62,90.62,0
PKO909,20150702,90.45,90.45,90.45,90.45,0
PKO909,20150703,90.89,90.89,90.89,90.89,0
PKO909,20150706,92.80,92.80,92.80,92.80,0
PKO909,20150707,88.98,88.98,88.98,88.98,0
PKO909,20150708,87.56,87.56,87.56,87.56,0
PKO909,20150709,87.33,87.33,87.33,87.33,0
PKO909,20150710,86.59,86.59,86.59,86.59,0
PKO909,20150713,86.70,86.70,86.70,86.70,0
PKO909,20150714,86.59,86.59,86.59,86.59,0
PKO909,20150715,84.94,84.94,84.94,84.94,0
PKO909,20150716,83.93,83.93,83.93,83.93,0
PKO909,20150717,79.54,79.54,79.54,79.54,0
PKO909,20150720,71.67,71.67,71.67,71.67,0
PKO909,20150721,72.92,72.92,72.92,72.92,0
PKO909,20150722,72.63,72.63,72.63,72.63,0
PKO909,20150723,70.20,70.20,70.20,70.20,0
PKO909,20150724,73.16,73.16,73.16,73.16,0
PKO909,20150727,70.31,70.31,70.31,70.31,0
PKO909,20150728,71.40,71.40,71.40,71.40,0
PKO909,20150729,73.45,73.45,73.45,73.45,0
PKO909,20150730,71.23,71.23,71.23,71.23,0
PKO909,20150731,72.90,72.90,72.90,72.90,0
PKO909,20150803,70.93,70.93,70.93,70.93,0
PKO909,20150804,70.27,70.27,70.27,70.27,0
PKO909,20150805,68.50,68.50,68.50,68.50,0
PKO909,20150806,70.30,70.30,70.30,70.30,0
PKO909,20150807,70.54,70.54,70.54,70.54,0
PKO909,20150810,73.48,73.48,73.48,73.48,0
PKO909,20150811,75.36,75.36,75.36,75.36,0
PKO909,20150812,78.94,78.94,78.94,78.94,0
PKO909,20150813,76.91,76.91,76.91,76.91,0
PKO909,20150814,75.63,75.63,75.63,75.63,0
PKO909,20150817,77.70,77.70,77.70,77.70,0
PKO909,20150818,76.69,76.69,76.69,76.69,0
PKO909,20150819,79.54,79.54,79.54,79.54,0
PKO909,20150820,82.09,82.09,82.09,82.09,0
PKO909,20150821,80.56,80.56,80.56,80.56,0
PKO909,20150824,75.39,75.39,75.39,75.39,0
PKO909,20150825,73.56,73.56,73.56,73.56,0
PKO909,20150826,69.99,69.99,69.99,69.99,0
PKO909,20150827,72.52,72.52,72.52,72.52,0
PKO909,20150828,75.13,75.13,75.13,75.13,0
PKO909,20150831,73.61,73.61,73.61,73.61,0
PKO909,20150901,72.73,72.73,72.73,72.73,0
PKO909,20150902,72.08,72.08,72.08,72.08,0
PKO909,20150903,70.94,70.94,70.94,70.94,0
PKO909,20150904,70.92,70.92,70.92,70.92,0
PKO909,20150907,70.90,70.90,70.90,70.90,0
PKO909,20150908,71.50,71.50,71.50,71.50,0
PKO909,20150909,70.07,70.07,70.07,70.07,0
PKO909,20150910,69.97,69.97,69.97,69.97,0
PKO909,20150911,70.66,70.66,70.66,70.66,0
PKO909,20150914,70.09,70.09,70.09,70.09,0
PKO909,20150915,70.08,70.08,70.08,70.08,0
PKO909,20150916,73.33,73.33,73.33,73.33,0
PKO909,20150917,75.11,75.11,75.11,75.11,0
PKO909,20150918,76.45,76.45,76.45,76.45,0
PKO909,20150924,75.02,75.02,75.02,75.02,0
PKO909,20150925,74.13,74.13,74.13,74.13,0
PKO909,20150928,70.94,70.94,70.94,70.94,0
PKO909,20150929,71.00,71.00,71.00,71.00,0
PKO909,20150930,72.19,72.19,72.19,72.19,0
PKO909,20151001,70.95,70.95,70.95,70.95,0
PKO909,20151002,75.92,75.92,75.92,75.92,0
PKO909,20151005,78.96,78.96,78.96,78.96,0
PKO909,20151006,81.40,81.40,81.40,81.40,0
PKO909,20151007,81.02,81.02,81.02,81.02,0
PKO909,20151008,80.27,80.27,80.27,80.27,0
PKO909,20151009,83.47,83.47,83.47,83.47,0
PKO909,20151012,82.10,82.10,82.10,82.10,0
PKO909,20151013,81.30,81.30,81.30,81.30,0
PKO909,20151014,86.39,86.39,86.39,86.39,0
PKO909,20151015,86.73,86.73,86.73,86.73,0
PKO909,20151016,84.37,84.37,84.37,84.37,0
PKO909,20151019,81.30,81.30,81.30,81.30,0
