Name,Date,Open,High,Low,Close,Volume
DWS035,20150316,99.99,99.99,99.99,99.99,0
DWS035,20150317,100.01,100.01,100.01,100.01,0
DWS035,20150318,100.01,100.01,100.01,100.01,0
DWS035,20150319,100.01,100.01,100.01,100.01,0
DWS035,20150320,100.01,100.01,100.01,100.01,0
DWS035,20150323,100.01,100.01,100.01,100.01,0
DWS035,20150324,100.01,100.01,100.01,100.01,0
DWS035,20150325,100.01,100.01,100.01,100.01,0
DWS035,20150326,100.01,100.01,100.01,100.01,0
DWS035,20150327,100.01,100.01,100.01,100.01,0
DWS035,20150330,100.01,100.01,100.01,100.01,0
DWS035,20150331,100.01,100.01,100.01,100.01,0
DWS035,20150401,100.01,100.01,100.01,100.01,0
DWS035,20150402,100.01,100.01,100.01,100.01,0
DWS035,20150407,100.01,100.01,100.01,100.01,0
DWS035,20150408,100.02,100.02,100.02,100.02,0
DWS035,20150409,100.02,100.02,100.02,100.02,0
DWS035,20150410,100.02,100.02,100.02,100.02,0
DWS035,20150413,100.02,100.02,100.02,100.02,0
DWS035,20150414,100.02,100.02,100.02,100.02,0
DWS035,20150415,99.96,99.96,99.96,99.96,0
DWS035,20150416,99.96,99.96,99.96,99.96,0
DWS035,20150417,99.96,99.96,99.96,99.96,0
DWS035,20150420,99.97,99.97,99.97,99.97,0
DWS035,20150421,99.97,99.97,99.97,99.97,0
DWS035,20150422,99.97,99.97,99.97,99.97,0
DWS035,20150423,99.97,99.97,99.97,99.97,0
DWS035,20150424,99.97,99.97,99.97,99.97,0
DWS035,20150427,99.96,99.96,99.96,99.96,0
DWS035,20150428,99.96,99.96,99.96,99.96,0
DWS035,20150429,99.83,99.83,99.83,99.83,0
DWS035,20150430,99.53,99.53,99.53,99.53,0
DWS035,20150504,99.42,99.42,99.42,99.42,0
DWS035,20150505,98.95,98.95,98.95,98.95,0
DWS035,20150506,98.83,98.83,98.83,98.83,0
DWS035,20150507,98.30,98.30,98.30,98.30,0
DWS035,20150508,99.17,99.17,99.17,99.17,0
DWS035,20150511,99.15,99.15,99.15,99.15,0
DWS035,20150512,99.00,99.00,99.00,99.00,0
DWS035,20150513,99.22,99.22,99.22,99.22,0
DWS035,20150514,98.89,98.89,98.89,98.89,0
DWS035,20150515,98.92,98.92,98.92,98.92,0
DWS035,20150518,98.50,98.50,98.50,98.50,0
DWS035,20150519,99.13,99.13,99.13,99.13,0
DWS035,20150520,99.51,99.51,99.51,99.51,0
DWS035,20150521,99.79,99.79,99.79,99.79,0
DWS035,20150522,100.07,100.07,100.07,100.07,0
DWS035,20150525,100.82,100.82,100.82,100.82,0
DWS035,20150526,100.81,100.81,100.81,100.81,0
DWS035,20150527,100.82,100.82,100.82,100.82,0
DWS035,20150528,100.68,100.68,100.68,100.68,0
DWS035,20150529,100.50,100.50,100.50,100.50,0
DWS035,20150601,100.45,100.45,100.45,100.45,0
DWS035,20150602,100.07,100.07,100.07,100.07,0
DWS035,20150603,99.12,99.12,99.12,99.12,0
DWS035,20150605,98.41,98.41,98.41,98.41,0
DWS035,20150608,98.60,98.60,98.60,98.60,0
DWS035,20150609,98.40,98.40,98.40,98.40,0
DWS035,20150610,98.30,98.30,98.30,98.30,0
DWS035,20150611,98.45,98.45,98.45,98.45,0
DWS035,20150612,98.50,98.50,98.50,98.50,0
DWS035,20150615,98.23,98.23,98.23,98.23,0
DWS035,20150616,98.05,98.05,98.05,98.05,0
DWS035,20150617,98.19,98.19,98.19,98.19,0
DWS035,20150618,98.49,98.49,98.49,98.49,0
DWS035,20150619,98.60,98.60,98.60,98.60,0
DWS035,20150622,98.94,98.94,98.94,98.94,0
DWS035,20150623,99.13,99.13,99.13,99.13,0
DWS035,20150624,99.19,99.19,99.19,99.19,0
DWS035,20150625,99.08,99.08,99.08,99.08,0
DWS035,20150626,99.03,99.03,99.03,99.03,0
DWS035,20150629,98.76,98.76,98.76,98.76,0
DWS035,20150630,98.92,98.92,98.92,98.92,0
DWS035,20150701,100.28,100.28,100.28,100.28,0
DWS035,20150702,99.16,99.16,99.16,99.16,0
DWS035,20150703,99.16,99.16,99.16,99.16,0
DWS035,20150706,99.07,99.07,99.07,99.07,0
DWS035,20150707,99.26,99.26,99.26,99.26,0
