Name,Date,Open,High,Low,Close,Volume
ALL034,20140110,100.01,100.01,100.01,100.01,0
ALL034,20140113,100.03,100.03,100.03,100.03,0
ALL034,20140114,100.03,100.03,100.03,100.03,0
ALL034,20140115,100.04,100.04,100.04,100.04,0
ALL034,20140116,100.05,100.05,100.05,100.05,0
ALL034,20140117,100.05,100.05,100.05,100.05,0
ALL034,20140120,100.07,100.07,100.07,100.07,0
ALL034,20140121,100.07,100.07,100.07,100.07,0
ALL034,20140122,100.08,100.08,100.08,100.08,0
ALL034,20140123,100.09,100.09,100.09,100.09,0
ALL034,20140124,100.12,100.12,100.12,100.12,0
ALL034,20140127,100.15,100.15,100.15,100.15,0
ALL034,20140128,100.09,100.09,100.09,100.09,0
ALL034,20140129,100.21,100.21,100.21,100.21,0
ALL034,20140130,100.08,100.08,100.08,100.08,0
ALL034,20140131,100.13,100.13,100.13,100.13,0
ALL034,20140203,100.12,100.12,100.12,100.12,0
ALL034,20140204,100.02,100.02,100.02,100.02,0
ALL034,20140205,99.96,99.96,99.96,99.96,0
ALL034,20140206,100.00,100.00,100.00,100.00,0
ALL034,20140207,100.17,100.17,100.17,100.17,0
ALL034,20140210,100.24,100.24,100.24,100.24,0
ALL034,20140211,100.30,100.30,100.30,100.30,0
ALL034,20140212,100.44,100.44,100.44,100.44,0
ALL034,20140213,100.49,100.49,100.49,100.49,0
ALL034,20140214,100.59,100.59,100.59,100.59,0
ALL034,20140217,100.83,100.83,100.83,100.83,0
ALL034,20140218,100.87,100.87,100.87,100.87,0
ALL034,20140219,100.88,100.88,100.88,100.88,0
ALL034,20140220,100.84,100.84,100.84,100.84,0
ALL034,20140221,100.84,100.84,100.84,100.84,0
ALL034,20140224,100.87,100.87,100.87,100.87,0
ALL034,20140225,101.02,101.02,101.02,101.02,0
ALL034,20140226,101.12,101.12,101.12,101.12,0
ALL034,20140227,101.33,101.33,101.33,101.33,0
ALL034,20140228,101.43,101.43,101.43,101.43,0
ALL034,20140303,101.46,101.46,101.46,101.46,0
ALL034,20140304,101.46,101.46,101.46,101.46,0
ALL034,20140305,101.47,101.47,101.47,101.47,0
ALL034,20140306,101.49,101.49,101.49,101.49,0
ALL034,20140307,101.48,101.48,101.48,101.48,0
ALL034,20140310,101.36,101.36,101.36,101.36,0
ALL034,20140311,101.32,101.32,101.32,101.32,0
ALL034,20140312,101.22,101.22,101.22,101.22,0
ALL034,20140313,101.23,101.23,101.23,101.23,0
ALL034,20140314,101.00,101.00,101.00,101.00,0
