Name,Date,Open,High,Low,Close,Volume
SUP004,20061019,98.61,98.61,98.61,98.61,0
SUP004,20061026,98.45,98.45,98.45,98.45,0
SUP004,20061102,97.87,97.87,97.87,97.87,0
SUP004,20061109,97.24,97.24,97.24,97.24,0
SUP004,20061116,96.51,96.51,96.51,96.51,0
SUP004,20061123,96.99,96.99,96.99,96.99,0
SUP004,20061130,96.92,96.92,96.92,96.92,0
SUP004,20061207,98.50,98.50,98.50,98.50,0
SUP004,20061214,99.98,99.98,99.98,99.98,0
SUP004,20061221,100.53,100.53,100.53,100.53,0
SUP004,20061228,102.98,102.98,102.98,102.98,0
SUP004,20070104,110.66,110.66,110.66,110.66,0
SUP004,20070111,107.09,107.09,107.09,107.09,0
SUP004,20070118,115.32,115.32,115.32,115.32,0
SUP004,20070125,114.64,114.64,114.64,114.64,0
SUP004,20070201,113.22,113.22,113.22,113.22,0
SUP004,20070208,112.55,112.55,112.55,112.55,0
SUP004,20070215,114.65,114.65,114.65,114.65,0
SUP004,20070222,114.13,114.13,114.13,114.13,0
SUP004,20070301,107.69,107.69,107.69,107.69,0
SUP004,20070308,92.39,92.39,92.39,92.39,0
SUP004,20070315,95.93,95.93,95.93,95.93,0
SUP004,20070322,100.80,100.80,100.80,100.80,0
SUP004,20070329,96.93,96.93,96.93,96.93,0
SUP004,20070405,98.09,98.09,98.09,98.09,0
SUP004,20070412,101.17,101.17,101.17,101.17,0
SUP004,20070419,108.18,108.18,108.18,108.18,0
SUP004,20070426,105.44,105.44,105.44,105.44,0
SUP004,20070504,104.95,104.95,104.95,104.95,0
SUP004,20070510,108.68,108.68,108.68,108.68,0
SUP004,20070517,108.88,108.88,108.88,108.88,0
SUP004,20070524,109.40,109.40,109.40,109.40,0
SUP004,20070531,110.31,110.31,110.31,110.31,0
SUP004,20070608,114.81,114.81,114.81,114.81,0
SUP004,20070614,112.69,112.69,112.69,112.69,0
SUP004,20070621,113.92,113.92,113.92,113.92,0
SUP004,20070628,113.50,113.50,113.50,113.50,0
SUP004,20070705,116.69,116.69,116.69,116.69,0
SUP004,20070712,119.47,119.47,119.47,119.47,0
SUP004,20070719,124.56,124.56,124.56,124.56,0
SUP004,20070726,121.51,121.51,121.51,121.51,0
SUP004,20070802,101.42,101.42,101.42,101.42,0
SUP004,20070809,97.31,97.31,97.31,97.31,0
SUP004,20070816,97.82,97.82,97.82,97.82,0
SUP004,20070823,88.81,88.81,88.81,88.81,0
SUP004,20070830,88.70,88.70,88.70,88.70,0
SUP004,20070906,88.55,88.55,88.55,88.55,0
SUP004,20070913,88.48,88.48,88.48,88.48,0
SUP004,20070920,89.61,89.61,89.61,89.61,0
SUP004,20070927,91.09,91.09,91.09,91.09,0
SUP004,20071004,89.86,89.86,89.86,89.86,0
SUP004,20071011,93.63,93.63,93.63,93.63,0
SUP004,20071018,94.50,94.50,94.50,94.50,0
SUP004,20071025,90.23,90.23,90.23,90.23,0
SUP004,20071102,99.31,99.31,99.31,99.31,0
SUP004,20071108,108.61,108.61,108.61,108.61,0
SUP004,20071115,94.95,94.95,94.95,94.95,0
SUP004,20071122,102.73,102.73,102.73,102.73,0
SUP004,20071129,99.17,99.17,99.17,99.17,0
SUP004,20071206,98.18,98.18,98.18,98.18,0
