Name,Date,Open,High,Low,Close,Volume
ING033,20100218,107.10,107.10,107.10,107.10,0
ING033,20100219,105.31,105.31,105.31,105.31,0
ING033,20100222,107.80,107.80,107.80,107.80,0
ING033,20100223,107.62,107.62,107.62,107.62,0
ING033,20100224,106.17,106.17,106.17,106.17,0
ING033,20100225,105.73,105.73,105.73,105.73,0
ING033,20100226,106.02,106.02,106.02,106.02,0
ING033,20100301,106.61,106.61,106.61,106.61,0
ING033,20100302,107.00,107.00,107.00,107.00,0
ING033,20100303,107.24,107.24,107.24,107.24,0
ING033,20100304,106.44,106.44,106.44,106.44,0
ING033,20100305,107.85,107.85,107.85,107.85,0
ING033,20100308,109.72,109.72,109.72,109.72,0
ING033,20100309,109.41,109.41,109.41,109.41,0
ING033,20100310,109.15,109.15,109.15,109.15,0
ING033,20100311,110.03,110.03,110.03,110.03,0
ING033,20100312,110.68,110.68,110.68,110.68,0
ING033,20100315,110.87,110.87,110.87,110.87,0
ING033,20100316,110.85,110.85,110.85,110.85,0
ING033,20100317,111.82,111.82,111.82,111.82,0
ING033,20100318,111.22,111.22,111.22,111.22,0
ING033,20100319,112.01,112.01,112.01,112.01,0
ING033,20100322,111.83,111.83,111.83,111.83,0
ING033,20100323,111.74,111.74,111.74,111.74,0
ING033,20100324,112.36,112.36,112.36,112.36,0
ING033,20100325,112.09,112.09,112.09,112.09,0
ING033,20100326,113.72,113.72,113.72,113.72,0
ING033,20100329,114.41,114.41,114.41,114.41,0
ING033,20100330,115.66,115.66,115.66,115.66,0
ING033,20100331,115.41,115.41,115.41,115.41,0
ING033,20100401,115.41,115.41,115.41,115.41,0
ING033,20100406,116.69,116.69,116.69,116.69,0
ING033,20100407,117.19,117.19,117.19,117.19,0
ING033,20100408,116.23,116.23,116.23,116.23,0
ING033,20100409,116.51,116.51,116.51,116.51,0
ING033,20100412,117.17,117.17,117.17,117.17,0
ING033,20100413,116.47,116.47,116.47,116.47,0
ING033,20100414,116.69,116.69,116.69,116.69,0
ING033,20100415,117.47,117.47,117.47,117.47,0
ING033,20100416,116.40,116.40,116.40,116.40,0
